Date,Open,High,Low,Close,Adj Close,Volume
2017/04/17,"20,484.75","20,644.41","20,484.75","20,636.92","20,636.92","229,240,000"
2017/04/18,"20,561.39","20,600.12","20,462.28","20,523.28","20,523.28","263,180,000"
2017/04/19,"20,503.52","20,546.69","20,379.55","20,404.49","20,404.49","294,790,000"
2017/04/20,"20,406.68","20,629.78","20,406.68","20,578.71","20,578.71","312,440,000"
2017/04/21,"20,578.10","20,601.40","20,505.33","20,547.76","20,547.76","369,600,000"
2017/04/24,"20,723.59","20,792.20","20,723.59","20,763.89","20,763.89","342,400,000"
2017/04/25,"20,915.51","21,026.97","20,909.38","20,996.12","20,996.12","348,180,000"
2017/04/26,"21,009.95","21,070.90","20,972.27","20,975.09","20,975.09","328,550,000"
2017/04/27,"20,991.12","21,005.80","20,935.80","20,981.33","20,981.33","305,690,000"
2017/04/28,"20,987.39","20,987.76","20,926.75","20,940.51","20,940.51","329,990,000"
2017/05/01,"20,962.73","20,976.62","20,898.38","20,913.46","20,913.46","288,160,000"
2017/05/02,"20,941.19","20,960.92","20,904.06","20,949.89","20,949.89","338,810,000"
2017/05/03,"20,915.00","20,972.74","20,874.18","20,957.90","20,957.90","310,920,000"
2017/05/04,"20,987.83","20,990.79","20,847.95","20,951.47","20,951.47","274,720,000"
2017/05/05,"20,929.04","21,006.94","20,905.00","21,006.94","21,006.94","260,960,000"
2017/05/08,"20,991.26","21,017.89","20,971.05","21,012.28","21,012.28","276,150,000"
2017/05/09,"21,022.28","21,046.85","20,938.04","20,975.78","20,975.78","273,000,000"
2017/05/10,"20,958.49","20,976.28","20,884.15","20,943.11","20,943.11","283,340,000"
2017/05/11,"20,925.72","20,933.36","20,798.90","20,919.42","20,919.42","287,680,000"
2017/05/12,"20,893.19","20,916.10","20,869.74","20,896.61","20,896.61","288,500,000"
2017/05/15,"20,923.63","21,000.83","20,923.63","20,981.94","20,981.94","313,170,000"
2017/05/16,"20,984.48","21,033.53","20,932.88","20,979.75","20,979.75","311,580,000"
2017/05/17,"20,846.17","20,846.17","20,601.08","20,606.93","20,606.93","423,200,000"
2017/05/18,"20,579.65","20,759.20","20,553.45","20,663.02","20,663.02","422,590,000"
2017/05/19,"20,698.28","20,857.13","20,687.94","20,804.84","20,804.84","365,180,000"
2017/05/22,"20,867.77","20,914.26","20,860.16","20,894.83","20,894.83","276,120,000"
2017/05/23,"20,908.67","20,961.14","20,896.22","20,937.91","20,937.91","244,950,000"
